dyad,ccode1,ccode2,statea,stateb,statei,statej,daysign,monthsign,yearsign,dayforce,monthforce,yearforce,censor,month_count,maxhurdles,maxpolconv,maxchecks,minpolity,minratio,min_laworder,ln_mingdp,min_govexp,comlang,comcol,atopally,s2un,log_gapgdppc,maxcomlaw,fdi_host,fdi_home,coldwar,maxexecleft,BIT_Status,_st,_d,_t,_t0
52710,52,710,TRI,CHN,Trinidad and Tobago,China,22,7,2002,24,5,2004,1,22,1,.85000002,3,-7,.67000002,4,16.804041,13.59442,0,0,0,1,9.4356956,1,3.627331,1.181133,0,1,In Force,1,1,22,0
52732,52,732,TRI,ROK,Trinidad and Tobago,South Korea,5,11,2002,27,11,2003,1,12,1,.85000002,4,8,.67000002,,16.804041,12.61975,0,0,0,.75,8.4861565,1,8.777463,.4543089,0,0,In Force,1,1,12,0
53040,53,40,BAR,CUB,Barbados,Cuba,19,2,1996,13,8,1998,1,24,1,.73000002,4,,.25,,15.55545,22.418631,0,0,0,.85365862,9.5180655,1,.077027597,.1777311,0,1,In Force,1,1,24,0
53590,53,590,BAR,MAS,Barbados,Mauritius,28,9,2004,28,6,2005,1,9,0,.72000003,3,,.51999998,,15.65616,14.26158,1,1,,1,9.5628204,1,.1748323,.1371142,0,1,In Force,1,1,9,0
53710,53,710,BAR,CHN,Barbados,China,20,7,1998,20,10,1999,1,15,1,.73000002,4,,.70999998,,15.66768,14.6429,0,0,0,.95555562,9.9506483,1,4.3496742,.037420701,0,1,In Force,1,1,15,0
70040,70,40,MEX,CUB,Mexico,Cuba,30,5,2001,29,3,2002,1,10,2,.41,5,-7,.5,2,18.381201,,1,1,0,.96428567,7.4804692,0,.0137301,.64596659,0,1,In Force,1,1,10,0
70052,70,52,MEX,TRI,Mexico,Trinidad and Tobago,3,10,2006,16,9,2007,1,11,2,,5,8,.86000001,2,17.18314,10.46271,0,0,,.97333342,9.3121061,1,2.109287,1.912688,0,0,In Force,1,1,11,0
70095,70,95,MEX,PAN,Mexico,Panama,11,10,2005,14,12,2006,1,14,2,.44,5,8,.88,3,17.021139,10.79754,1,1,,1,8.3297033,0,6.2212648,.76693612,0,0,In Force,1,1,14,0
70165,70,165,MEX,URU,Mexico,Uruguay,30,6,1999,1,7,2002,1,37,2,.56,5,6,.38,2,17.14558,11.00881,1,1,1,1,7.178278,0,.98092288,.36071199,0,1,In Force,1,1,37,0
70316,70,316,MEX,CZR,Mexico,Czech Republic,4,4,2002,13,3,2004,1,23,2,.74000001,5,8,.64999998,2,19.029539,12.12396,0,0,0,.64285707,8.9283113,0,3.323884,.27427429,0,1,In Force,1,1,23,0
